simplified_color,simplified_sex,intake_age,simplified_condition,simplified_type,days_stayed
OTHER,FEMALE,8,NORMAL,OWNER SURRENDER,94
OTHER,FEMALE,8,NORMAL,OWNER SURRENDER,17
BLACK,FEMALE,3,OTHER,OWNER SURRENDER,32
OTHER,MALE,8,NORMAL,OWNER SURRENDER,48
GRAY,MALE,1,NORMAL,STRAY,8
BLACK,FEMALE,0,NORMAL,STRAY,16
GRAY,FEMALE,3,NORMAL,STRAY,8
OTHER,FEMALE,3,NORMAL,OWNER SURRENDER,78
OTHER,FEMALE,0,NORMAL,STRAY,11
BLACK,FEMALE,0,NORMAL,STRAY,19
TABBY,MALE,9,NORMAL,OWNER SURRENDER,58
TABBY,FEMALE,2,INJURED,STRAY,8
GRAY,FEMALE,2,NORMAL,STRAY,14
OTHER,FEMALE,0,NORMAL,STRAY,12
BLACK,MALE,4,ILL,STRAY,127
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,50
OTHER,MALE,4,NORMAL,OWNER SURRENDER,34
TABBY,FEMALE,4,NORMAL,OWNER SURRENDER,29
GRAY,FEMALE,0,ILL,STRAY,42
WHITE,FEMALE,0,NORMAL,STRAY,14
TABBY,FEMALE,0,NORMAL,STRAY,8
BLACK,MALE,0,NORMAL,STRAY,19
BLACK,MALE,2,NORMAL,OWNER SURRENDER,10
TABBY,MALE,0,OTHER,STRAY,10
BLACK,MALE,0,NORMAL,STRAY,75
TABBY,FEMALE,0,NORMAL,STRAY,23
TABBY,MALE,0,NORMAL,STRAY,14
OTHER,FEMALE,2,NORMAL,STRAY,11
BLACK,MALE,0,NORMAL,STRAY,27
GRAY,MALE,0,OTHER,STRAY,42
BLACK,FEMALE,0,NORMAL,STRAY,31
TABBY,MALE,0,NORMAL,STRAY,18
BLACK,FEMALE,0,NORMAL,STRAY,13
TABBY,MALE,0,NORMAL,STRAY,64
BLACK,FEMALE,0,NORMAL,STRAY,40
OTHER,FEMALE,0,OTHER,STRAY,119
GRAY,MALE,0,ILL,STRAY,14
OTHER,MALE,0,OTHER,STRAY,55
BLACK,FEMALE,3,NORMAL,STRAY,125
TABBY,FEMALE,0,NORMAL,STRAY,13
BLACK,FEMALE,0,NORMAL,STRAY,72
TABBY,MALE,0,OTHER,STRAY,113
BLACK,FEMALE,0,NORMAL,STRAY,5
BLACK,MALE,0,NORMAL,STRAY,32
TABBY,MALE,0,UNDER WEIGHT,STRAY,28
BLACK,FEMALE,1,NORMAL,OWNER SURRENDER,10
OTHER,FEMALE,4,NORMAL,OWNER SURRENDER,83
GRAY,FEMALE,0,NORMAL,STRAY,8
TABBY,FEMALE,0,OTHER,STRAY,25
GRAY,MALE,0,NORMAL,STRAY,25
TABBY,FEMALE,1,NORMAL,OWNER SURRENDER,126
TABBY,MALE,0,NORMAL,STRAY,45
TABBY,MALE,0,NORMAL,STRAY,6
OTHER,FEMALE,0,NORMAL,STRAY,6
BLACK,FEMALE,0,NORMAL,STRAY,28
TABBY,MALE,0,NORMAL,STRAY,8
TABBY,MALE,0,NORMAL,STRAY,21
OTHER,MALE,0,NORMAL,STRAY,7
TABBY,FEMALE,4,NORMAL,STRAY,43
TABBY,MALE,2,NORMAL,STRAY,8
GRAY,FEMALE,0,NORMAL,STRAY,7
TABBY,MALE,0,OTHER,STRAY,17
BLACK,MALE,0,NORMAL,STRAY,22
OTHER,FEMALE,0,NORMAL,STRAY,7
OTHER,FEMALE,3,NORMAL,STRAY,27
GRAY,MALE,0,NORMAL,STRAY,6
TABBY,MALE,2,NORMAL,STRAY,109
OTHER,MALE,0,NORMAL,OWNER SURRENDER,2
TABBY,MALE,6,NORMAL,STRAY,83
TABBY,MALE,0,NORMAL,OWNER SURRENDER,45
TABBY,FEMALE,1,NORMAL,STRAY,69
WHITE,MALE,4,INJURED,OWNER SURRENDER,41
OTHER,FEMALE,0,NORMAL,STRAY,32
TABBY,FEMALE,3,NORMAL,STRAY,58
BLACK,MALE,0,NORMAL,STRAY,5
OTHER,MALE,0,UNDER WEIGHT,STRAY,10
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,16
BLACK,MALE,0,NORMAL,STRAY,12
GRAY,FEMALE,0,NORMAL,OWNER SURRENDER,7
BLACK,MALE,0,UNDER WEIGHT,STRAY,77
GRAY,MALE,0,NORMAL,STRAY,100
TABBY,FEMALE,1,NORMAL,STRAY,15
BLACK,MALE,0,UNDER WEIGHT,STRAY,125
WHITE,MALE,4,ILL,OWNER SURRENDER,7
BLACK,MALE,0,NORMAL,STRAY,89
BLACK,FEMALE,0,NORMAL,STRAY,8
TABBY,MALE,4,ILL,STRAY,36
BLACK,MALE,4,NORMAL,STRAY,9
TABBY,MALE,0,NORMAL,STRAY,57
